analysis,case_id,case,family,size_token,seed,method_key,method,status,rel_error,contract_time_sec,emit_time_sec,total_time_sec,exact_total_time_sec,speedup_vs_exact,t_contract_ratio,peak_rank,num_implicit_merge_sketches,cache_hit_rate,num_cached_states,mean_merge_residual_ratio,mean_leaf_residual_ratio,leaf_tol,merge_tol,rank_policy,target_rank,max_rank,cache_enabled,block_enabled,block_labels,chunk_size,run_name,run_dir,error_message
scale_trend,tree_10,Tree-10,tree,10,2,fixed_rank,fixed-rank,failed,,,,,,,,,,,,,,0.0,0.0,fixed,4,4,true,true,2,1,tree_10__fixed_rank__s2,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,0,astnc_l2,ASTNC-L2,failed,,,,,,,,,,,,,,0.001,0.005,adaptive,2,16,true,true,2,1,tree_12__astnc_l2__s0,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,1,astnc_l2,ASTNC-L2,failed,,,,,,,,,,,,,,0.001,0.005,adaptive,2,16,true,true,2,1,tree_12__astnc_l2__s1,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,2,astnc_l2,ASTNC-L2,failed,,,,,,,,,,,,,,0.001,0.005,adaptive,2,16,true,true,2,1,tree_12__astnc_l2__s2,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,0,exact,exact,failed,,,,,,,,,,,,,,,,,,,,true,2,1,tree_12__exact__s0,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,1,exact,exact,failed,,,,,,,,,,,,,,,,,,,,true,2,1,tree_12__exact__s1,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,2,exact,exact,failed,,,,,,,,,,,,,,,,,,,,true,2,1,tree_12__exact__s2,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,0,fixed_rank,fixed-rank,failed,,,,,,,,,,,,,,0.0,0.0,fixed,4,4,true,true,2,1,tree_12__fixed_rank__s0,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,1,fixed_rank,fixed-rank,failed,,,,,,,,,,,,,,0.0,0.0,fixed,4,4,true,true,2,1,tree_12__fixed_rank__s1,,CalledProcessError: exit=3221226091
scale_trend,tree_12,Tree-12,tree,12,2,fixed_rank,fixed-rank,failed,,,,,,,,,,,,,,0.0,0.0,fixed,4,4,true,true,2,1,tree_12__fixed_rank__s2,,CalledProcessError: exit=3221226091
scale_trend,tree_6,Tree-6,tree,6,0,astnc_l2,ASTNC-L2,ok,2.9991969319978416e-15,0.009874100000160979,1.7600003047846258e-05,0.009891700003208825,0.013694299992494052,1.384423303038634,0.9982207301029795,16.0,0.0,0.4126984126984127,37.0,0.0,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,tree_6__astnc_l2__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\tree_6__astnc_l2__s0\2026-04-14_19-17-38,
